"Name","Coin 1","Coin 2","Digit to round","Min Price","Max Price","Price Increment","Amount Format in Market data book","Default Min Order Amount","Default Max Order Amount","Amount Increment"
USDT/USDC,USDT,USDC,#.000000,0.1,9.0,0.00001,#.,1.0,10000000,1.0
XLM/EUR,XLM,EUR,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XLM/USD,XLM,USD,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XRP/EUR,XRP,EUR,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XRP/USD,XRP,USD,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XRP/USDC,XRP,USDC,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XRP/USDT,XRP,USDT,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XTZ/EUR,XTZ,EUR,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
XTZ/USD,XTZ,USD,#.00000,0.01,999.0,0.00001,#.00,1.0,50000000,1.0
YFI/EUR,YFI,EUR,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
YFI/USD,YFI,USD,#.00,10.0,99999.0,0.01,#.0000,0.0001,17000.0,0.0001
ZEC/EUR,ZEC,EUR,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
ZEC/USD,ZEC,USD,#.000,0.01,999.0,0.0001,#.00,1.0,1500000.0,1.0
ZRX/EUR,ZRX,EUR,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
ZRX/USD,ZRX,USD,#.00000,0.01,999.0,0.00001,#.00,1000.0,2400000.0,1.0
